Initial signature: 255	255
255	255	
data	Stamp	pre	post
1	0	1590528227608051	1590528227608978
2	1	1590528228967378	1590528228968477
4	2	1590528230326850	1590528230327831
8	3	1590528231686275	1590528231687232
16	4	1590528233045695	1590528233046638
32	5	1590528234405298	1590528234405861
64	6	1590528235764468	1590528235765517
128	7	1590528237123948	1590528237124863
1	8	1590528238483197	1590528238484440
2	9	1590528239842578	1590528239843886
4	10	1590528241202305	1590528241202984
8	11	1590528242561488	1590528242562628
16	12	1590528243921029	1590528243921912
32	13	1590528245280409	1590528245281359
64	14	1590528246639806	1590528246640787
128	15	1590528247999251	1590528248000169
1	16	1590528249358837	1590528249359408
2	17	1590528250718152	1590528250718919
4	18	1590528252077363	1590528252078534
8	19	1590528253436834	1590528253437890
16	20	1590528254796155	1590528254797394
32	21	1590528256155657	1590528256156719
64	22	1590528257515159	1590528257516042
128	23	1590528258874584	1590528258875444
1	24	1590528260233950	1590528260234904
2	25	1590528261593281	1590528261594399
4	26	1590528262952796	1590528262953709
8	27	1590528264312059	1590528264313272
16	28	1590528265671501	1590528265672656
32	29	1590528267030894	1590528267032089
64	30	1590528268390440	1590528268391369
128	31	1590528269749890	1590528269750746
1	32	1590528271109354	1590528271110107
2	33	1590528272468684	1590528272469603
4	34	1590528273827951	1590528273829162
8	35	1590528275187442	1590528275188498
16	36	1590528276546981	1590528276547784
32	37	1590528277906329	1590528277907263
64	38	1590528279265566	1590528279266851
128	39	1590528280625154	1590528280626089
1	40	1590528281984650	1590528281985419
2	41	1590528283344067	1590528283344828
4	42	1590528284703425	1590528284704297
8	43	1590528286062632	1590528286063915
16	44	1590528287422137	1590528287423236
32	45	1590528288781554	1590528288782646
64	46	1590528290141032	1590528290141994
128	47	1590528291500389	1590528291501462
1	48	1590528292859906	1590528292860771
2	49	1590528294219285	1590528294220218
4	50	1590528295578697	1590528295579632
8	51	1590528296938138	1590528296939017
16	52	1590528298297395	1590528298298586
32	53	1590528299656652	1590528299658155
64	54	1590528301016383	1590528301017250
128	55	1590528302375659	1590528302376801
1	56	1590528303735145	1590528303736140
2	57	1590528305094525	1590528305095586
4	58	1590528306453914	1590528306455023
8	59	1590528307813473	1590528307814290
16	60	1590528309172861	1590528309173728
32	61	1590528310532454	1590528310532961
64	62	1590528311891593	1590528311892648
128	63	1590528313251023	1590528313252044
1	64	1590528314610358	1590528314611535
2	65	1590528315969942	1590528315970777
4	66	1590528317329091	1590528317330454
8	67	1590528318688513	1590528318689858
16	68	1590528320048160	1590528320049037
32	69	1590528321407542	1590528321408482
64	70	1590528322767091	1590528322767758
128	71	1590528324126458	1590528324127217
1	72	1590528325485700	1590528325486801
2	73	1590528326844873	1590528326846454
4	74	1590528328204487	1590528328205666
8	75	1590528329564040	1590528329564939
16	76	1590528330923457	1590528330924348
32	77	1590528332282652	1590528332283979
64	78	1590528333642285	1590528333643172
128	79	1590528335001490	1590528335002793
1	80	1590528336361121	1590528336361988
2	81	1590528337720431	1590528337721504
4	82	1590528339079851	1590528339080910
8	83	1590528340439278	1590528340440309
16	84	1590528341798775	1590528341799638
32	85	1590528343158143	1590528343159096
64	86	1590528344517582	1590528344518483
128	87	1590528345876944	1590528345877947
1	88	1590528347236390	1590528347237328
2	89	1590528348595852	1590528348596691
4	90	1590528349955162	1590528349956207
8	91	1590528351314676	1590528351315519
16	92	1590528352673973	1590528352675048
32	93	1590528354033456	1590528354034391
64	94	1590528355392788	1590528355393885
128	95	1590528356752190	1590528356753309
1	96	1590528358111552	1590528358112774
2	97	1590528359471257	1590528359471894
4	98	1590528360830618	1590528360831359
8	99	1590528362190041	1590528362190762
16	100	1590528363549324	1590528363550305
32	101	1590528364908697	1590528364909758
64	102	1590528366267945	1590528366269337
128	103	1590528367627540	1590528367628567
1	104	1590528368986863	1590528368988070
2	105	1590528370346451	1590528370347308
4	106	1590528371705868	1590528371706717
8	107	1590528373065423	1590528373065988
16	108	1590528374424705	1590528374425532
32	109	1590528375784040	1590528375785024
64	110	1590528377143487	1590528377144402
128	111	1590528378502697	1590528378504018
1	112	1590528379862254	1590528379863287
2	113	1590528381221830	1590528381222537
4	114	1590528382581065	1590528382582128
8	115	1590528383940515	1590528383941504
16	116	1590528385299901	1590528385300944
32	117	1590528386659326	1590528386660345
64	118	1590528388018822	1590528388019676
128	119	1590528389378175	1590528389379148
1	120	1590528390737542	1590528390738607
2	121	1590528392096996	1590528392097979
4	122	1590528393456510	1590528393457291
8	123	1590528394815814	1590528394816813
16	124	1590528396175416	1590528396176037
32	125	1590528397534598	1590528397535682
64	126	1590528398894198	1590528398894907
128	127	1590528400253398	1590528400254533
