Initial signature: 255	255
255	255	
data	Stamp	pre	post
1	0	1590528227607174	1590528227609855
2	1	1590528228607404	1590528228609782
4	2	1590528229607226	1590528229610102
8	3	1590528230607272	1590528230610281
16	4	1590528231607642	1590528231610262
32	5	1590528232607810	1590528232610274
64	6	1590528233608144	1590528233610422
128	7	1590528234608110	1590528234610361
1	8	1590528235608260	1590528235610719
2	9	1590528236608185	1590528236610809
4	10	1590528237608253	1590528237611363
8	11	1590528238608650	1590528238611109
16	12	1590528239608685	1590528239611335
32	13	1590528240609271	1590528240611253
64	14	1590528241609007	1590528241611573
128	15	1590528242609188	1590528242611717
1	16	1590528243609327	1590528243612020
2	17	1590528244610095	1590528244611833
4	18	1590528245609763	1590528245612513
8	19	1590528246610258	1590528246612628
16	20	1590528247610300	1590528247613049
32	21	1590528248610572	1590528248613108
64	22	1590528249610660	1590528249613319
128	23	1590528250610888	1590528250613504
1	24	1590528251611041	1590528251613802
2	25	1590528252611341	1590528252613916
4	26	1590528253611430	1590528253614394
8	27	1590528254611971	1590528254614518
16	28	1590528255612156	1590528255614675
32	29	1590528256612265	1590528256614836
64	30	1590528257612443	1590528257615026
128	31	1590528258612429	1590528258614817
1	32	1590528259612430	1590528259615067
2	33	1590528260612475	1590528260615289
4	34	1590528261612941	1590528261615199
8	35	1590528262613077	1590528262615604
16	36	1590528263612977	1590528263616018
32	37	1590528264613413	1590528264615863
64	38	1590528265613949	1590528265615956
128	39	1590528266613896	1590528266616331
1	40	1590528267614176	1590528267616324
2	41	1590528268614200	1590528268616578
4	42	1590528269614305	1590528269617184
8	43	1590528270614787	1590528270616941
16	44	1590528271614695	1590528271617167
32	45	1590528272614919	1590528272617260
64	46	1590528273615060	1590528273617263
128	47	1590528274615094	1590528274617802
1	48	1590528275615566	1590528275617700
2	49	1590528276615279	1590528276618208
4	50	1590528277615616	1590528277618177
8	51	1590528278615534	1590528278618457
16	52	1590528279615826	1590528279618393
32	53	1590528280616075	1590528280618331
64	54	1590528281616504	1590528281618516
128	55	1590528282616352	1590528282618977
1	56	1590528283616423	1590528283618946
2	57	1590528284616465	1590528284619176
4	58	1590528285616878	1590528285619184
8	59	1590528286617035	1590528286619133
16	60	1590528287616708	1590528287619663
32	61	1590528288616843	1590528288619881
64	62	1590528289617403	1590528289619798
128	63	1590528290617674	1590528290619527
1	64	1590528291617569	1590528291620099
2	65	1590528292617600	1590528292620672
4	66	1590528293617933	1590528293620722
8	67	1590528294618478	1590528294620678
16	68	1590528295618244	1590528295621044
32	69	1590528296618573	1590528296620877
64	70	1590528297618518	1590528297621187
128	71	1590528298618821	1590528298621410
1	72	1590528299619158	1590528299621278
2	73	1590528300619044	1590528300621816
4	74	1590528301619831	1590528301621528
8	75	1590528302619327	1590528302622343
16	76	1590528303619428	1590528303622336
32	77	1590528304619535	1590528304622306
64	78	1590528305620229	1590528305622066
128	79	1590528306619756	1590528306622607
1	80	1590528307620363	1590528307622423
2	81	1590528308620403	1590528308622808
4	82	1590528309620261	1590528309622920
8	83	1590528310620429	1590528310622668
16	84	1590528311620475	1590528311623254
32	85	1590528312620787	1590528312622977
64	86	1590528313620596	1590528313623283
128	87	1590528314620666	1590528314623442
1	88	1590528315620858	1590528315623229
2	89	1590528316620716	1590528316623443
4	90	1590528317620947	1590528317623572
8	91	1590528318621042	1590528318623501
16	92	1590528319621191	1590528319623500
32	93	1590528320621430	1590528320624063
64	94	1590528321621653	1590528321624090
128	95	1590528322621849	1590528322624178
1	96	1590528323622080	1590528323624195
2	97	1590528324621929	1590528324624667
4	98	1590528325622285	1590528325624668
8	99	1590528326622477	1590528326624787
16	100	1590528327622694	1590528327625098
32	101	1590528328622820	1590528328625321
64	102	1590528329622782	1590528329625643
128	103	1590528330622974	1590528330625660
1	104	1590528331623207	1590528331625561
2	105	1590528332623090	1590528332626006
4	106	1590528333623383	1590528333625925
8	107	1590528334623627	1590528334626244
16	108	1590528335623760	1590528335626165
32	109	1590528336623735	1590528336626807
64	110	1590528337623968	1590528337627070
128	111	1590528338624671	1590528338626908
1	112	1590528339624551	1590528339627130
2	113	1590528340624620	1590528340627418
4	114	1590528341625081	1590528341627336
8	115	1590528342624882	1590528342627941
16	116	1590528343625071	1590528343627715
32	117	1590528344625038	1590528344627847
64	118	1590528345625228	1590528345627949
128	119	1590528346625500	1590528346627989
1	120	1590528347625837	1590528347628000
2	121	1590528348626003	1590528348628302
4	122	1590528349625961	1590528349628370
8	123	1590528350625775	1590528350628782
16	124	1590528351626122	1590528351628738
32	125	1590528352626189	1590528352628640
64	126	1590528353626076	1590528353628639
128	127	1590528354626278	1590528354629085
1	128	1590528355626888	1590528355629133
2	129	1590528356626911	1590528356629558
4	130	1590528357627218	1590528357629538
8	131	1590528358627361	1590528358629984
16	132	1590528359627609	1590528359630300
32	133	1590528360627684	1590528360630395
64	134	1590528361627794	1590528361630783
128	135	1590528362628297	1590528362630493
1	136	1590528363628253	1590528363631085
2	137	1590528364628487	1590528364631062
4	138	1590528365628526	1590528365631410
8	139	1590528366628678	1590528366631815
16	140	1590528367629276	1590528367631648
32	141	1590528368629602	1590528368631724
64	142	1590528369629353	1590528369632490
128	143	1590528370629459	1590528370632366
1	144	1590528371629864	1590528371632311
2	145	1590528372629834	1590528372632476
4	146	1590528373630101	1590528373632554
8	147	1590528374630227	1590528374632845
16	148	1590528375630558	1590528375632712
32	149	1590528376630637	1590528376632933
64	150	1590528377630857	1590528377633390
128	151	1590528378631008	1590528378633263
1	152	1590528379630781	1590528379633685
2	153	1590528380631555	1590528380633684
4	154	1590528381631549	1590528381634043
8	155	1590528382631533	1590528382634417
16	156	1590528383631893	1590528383634376
32	157	1590528384631711	1590528384634756
64	158	1590528385632060	1590528385634482
128	159	1590528386632222	1590528386634742
1	160	1590528387632399	1590528387634900
2	161	1590528388632239	1590528388635244
4	162	1590528389632572	1590528389635256
8	163	1590528390633182	1590528390634946
16	164	1590528391632886	1590528391635503
32	165	1590528392632770	1590528392635950
64	166	1590528393633105	1590528393635879
128	167	1590528394633457	1590528394635691
1	168	1590528395633598	1590528395636142
2	169	1590528396633881	1590528396636237
4	170	1590528397633827	1590528397636772
8	171	1590528398634306	1590528398636588
16	172	1590528399634468	1590528399636963
32	173	1590528400634420	1590528400637372
64	174	1590528401635014	1590528401637122
128	175	1590528402634990	1590528402637784
1	176	1590528403635076	1590528403637624
2	177	1590528404635055	1590528404638061
4	178	1590528405635676	1590528405637870
8	179	1590528406635903	1590528406637988
16	180	1590528407635840	1590528407638653
32	181	1590528408636146	1590528408638807
64	182	1590528409636277	1590528409638843
