Initial signature: 255	255
255	255	
data	Stamp	pre	post
1	0	1590528227607351	1590528227609678
2	1	1590528228607584	1590528228609830
4	2	1590528229607379	1590528229610224
8	3	1590528230607399	1590528230610280
16	4	1590528231607504	1590528231610224
32	5	1590528232607823	1590528232610248
64	6	1590528233608011	1590528233610641
128	7	1590528234608229	1590528234610660
1	8	1590528235608126	1590528235610651
2	9	1590528236608227	1590528236611070
4	10	1590528237608402	1590528237610809
8	11	1590528238608747	1590528238611031
16	12	1590528239608883	1590528239611286
32	13	1590528240608940	1590528240611454
64	14	1590528241608776	1590528241611790
128	15	1590528242609069	1590528242611611
1	16	1590528243609481	1590528243611637
2	17	1590528244609261	1590528244611578
4	18	1590528245609150	1590528245611858
8	19	1590528246609287	1590528246612122
16	20	1590528247609593	1590528247612216
32	21	1590528248609683	1590528248612121
64	22	1590528249609579	1590528249612452
128	23	1590528250609595	1590528250612546
1	24	1590528251610151	1590528251612420
2	25	1590528252610038	1590528252612651
4	26	1590528253609673	1590528253612894
8	27	1590528254610004	1590528254612874
16	28	1590528255610438	1590528255612890
32	29	1590528256610652	1590528256612958
64	30	1590528257610376	1590528257613493
128	31	1590528258610696	1590528258613166
1	32	1590528259610730	1590528259613203
2	33	1590528260610763	1590528260613682
4	34	1590528261611016	1590528261613581
8	35	1590528262611144	1590528262613715
16	36	1590528263611173	1590528263613987
32	37	1590528264611462	1590528264614214
64	38	1590528265611730	1590528265614145
128	39	1590528266611533	1590528266614576
1	40	1590528267611720	1590528267614552
2	41	1590528268612006	1590528268614472
4	42	1590528269612175	1590528269614649
8	43	1590528270612289	1590528270614572
16	44	1590528271612195	1590528271614799
32	45	1590528272612375	1590528272614981
64	46	1590528273612422	1590528273615157
128	47	1590528274612864	1590528274615316
1	48	1590528275612734	1590528275615395
2	49	1590528276612925	1590528276615603
4	50	1590528277612961	1590528277616042
8	51	1590528278613104	1590528278615952
16	52	1590528279613567	1590528279615842
32	53	1590528280613708	1590528280616405
64	54	1590528281613979	1590528281616552
128	55	1590528282614446	1590528282616573
1	56	1590528283614030	1590528283616953
2	57	1590528284614523	1590528284616813
4	58	1590528285614730	1590528285617004
8	59	1590528286614627	1590528286617723
16	60	1590528287614909	1590528287617468
32	61	1590528288614978	1590528288617935
64	62	1590528289615181	1590528289617862
128	63	1590528290615422	1590528290617864
1	64	1590528291615625	1590528291617917
2	65	1590528292615740	1590528292618071
4	66	1590528293615368	1590528293618399
8	67	1590528294615933	1590528294618220
16	68	1590528295616156	1590528295618607
32	69	1590528296616183	1590528296618955
64	70	1590528297615882	1590528297619300
128	71	1590528298616705	1590528298618935
1	72	1590528299616689	1590528299619228
2	73	1590528300616588	1590528300619406
4	74	1590528301616925	1590528301619418
8	75	1590528302616728	1590528302619666
16	76	1590528303617235	1590528303619392
32	77	1590528304617425	1590528304619580
64	78	1590528305617051	1590528305620099
128	79	1590528306617552	1590528306619825
1	80	1590528307617177	1590528307620042
2	81	1590528308617650	1590528308620121
4	82	1590528309617845	1590528309619925
8	83	1590528310617654	1590528310620356
16	84	1590528311617541	1590528311620491
32	85	1590528312617729	1590528312620287
64	86	1590528313617846	1590528313620505
128	87	1590528314618123	1590528314620616
1	88	1590528315618426	1590528315621006
2	89	1590528316618460	1590528316621041
4	90	1590528317618702	1590528317621193
8	91	1590528318618693	1590528318621787
16	92	1590528319618458	1590528319621877
32	93	1590528320618998	1590528320621654
64	94	1590528321619154	1590528321621589
128	95	1590528322619430	1590528322621786
1	96	1590528323619523	1590528323622013
2	97	1590528324619585	1590528324622318
4	98	1590528325619589	1590528325622231
8	99	1590528326619336	1590528326622362
16	100	1590528327619961	1590528327622286
32	101	1590528328619968	1590528328622347
64	102	1590528329619971	1590528329622598
128	103	1590528330620175	1590528330622716
1	104	1590528331620595	1590528331623033
2	105	1590528332620709	1590528332623210
4	106	1590528333620754	1590528333623610
8	107	1590528334620985	1590528334623306
16	108	1590528335620760	1590528335623716
32	109	1590528336621107	1590528336623762
64	110	1590528337621473	1590528337623830
128	111	1590528338621539	1590528338624217
1	112	1590528339621647	1590528339624366
2	113	1590528340621463	1590528340624677
4	114	1590528341621918	1590528341624532
8	115	1590528342621900	1590528342624451
16	116	1590528343622091	1590528343624566
32	117	1590528344622229	1590528344624921
64	118	1590528345622524	1590528345624759
128	119	1590528346622764	1590528346624853
1	120	1590528347622509	1590528347625298
2	121	1590528348622307	1590528348625577
4	122	1590528349622931	1590528349625244
8	123	1590528350622935	1590528350625469
16	124	1590528351622718	1590528351625451
32	125	1590528352622961	1590528352625732
64	126	1590528353622811	1590528353626153
128	127	1590528354623100	1590528354625749
1	128	1590528355623175	1590528355626151
