Initial signature: 255	255
255	255	
data	Stamp	pre	post
1	0	1590528227608096	1590528227608933
2	1	1590528228919581	1590528228920462
4	2	1590528230231048	1590528230232009
8	3	1590528231542661	1590528231543411
16	4	1590528232854058	1590528232855028
32	5	1590528234165521	1590528234166578
64	6	1590528235476898	1590528235478216
128	7	1590528236788528	1590528236789599
1	8	1590528238099968	1590528238101173
2	9	1590528239411508	1590528239412647
4	10	1590528240722984	1590528240724185
8	11	1590528242034630	1590528242035553
16	12	1590528243346021	1590528243347177
32	13	1590528244657678	1590528244658533
64	14	1590528245969117	1590528245970109
128	15	1590528247280627	1590528247281612
1	16	1590528248592156	1590528248593097
2	17	1590528249903657	1590528249904610
4	18	1590528251215172	1590528251216109
8	19	1590528252526756	1590528252527539
16	20	1590528253838070	1590528253839239
32	21	1590528255149535	1590528255150789
64	22	1590528256461305	1590528256462032
128	23	1590528257772672	1590528257773679
1	24	1590528259084278	1590528259085087
2	25	1590528260395618	1590528260396761
4	26	1590528261706920	1590528261708473
8	27	1590528263018597	1590528263019810
16	28	1590528264330324	1590528264331098
32	29	1590528265641618	1590528265642817
64	30	1590528266953320	1590528266954130
128	31	1590528268264830	1590528268265633
1	32	1590528269576225	1590528269577252
2	33	1590528270887613	1590528270888878
4	34	1590528272199220	1590528272200285
8	35	1590528273510685	1590528273511834
16	36	1590528274822460	1590528274823074
32	37	1590528276133687	1590528276134860
64	38	1590528277445311	1590528277446250
128	39	1590528278756993	1590528278757582
1	40	1590528280068331	1590528280069259
2	41	1590528281379698	1590528281380906
4	42	1590528282691293	1590528282692324
8	43	1590528284002776	1590528284003856
16	44	1590528285314363	1590528285315283
32	45	1590528286626087	1590528286626572
64	46	1590528287937389	1590528287938285
128	47	1590528289248917	1590528289249770
1	48	1590528290560232	1590528290561469
2	49	1590528291871785	1590528291872931
4	50	1590528293183491	1590528293184238
8	51	1590528294494708	1590528294496035
16	52	1590528295806362	1590528295807395
32	53	1590528297117693	1590528297119078
64	54	1590528298429371	1590528298430415
128	55	1590528299740933	1590528299741866
1	56	1590528301052382	1590528301053431
2	57	1590528302363834	1590528302364993
4	58	1590528303675447	1590528303676395
8	59	1590528304986848	1590528304988007
16	60	1590528306298418	1590528306299451
32	61	1590528307609994	1590528307610890
64	62	1590528308921415	1590528308922483
128	63	1590528310232966	1590528310233946
1	64	1590528311544553	1590528311545373
2	65	1590528312855981	1590528312856958
4	66	1590528314167573	1590528314168380
8	67	1590528315479206	1590528315479761
16	68	1590528316790614	1590528316791367
32	69	1590528318102027	1590528318102968
64	70	1590528319413382	1590528319414627
128	71	1590528320725045	1590528320725978
1	72	1590528322036609	1590528322037429
2	73	1590528323348170	1590528323348881
4	74	1590528324659512	1590528324660553
8	75	1590528325970899	1590528325972181
16	76	1590528327282670	1590528327283423
32	77	1590528328593929	1590528328595178
64	78	1590528329905663	1590528329906458
128	79	1590528331217227	1590528331217909
1	80	1590528332528562	1590528332529588
2	81	1590528333839998	1590528333841165
4	82	1590528335151542	1590528335152635
8	83	1590528336463015	1590528336464177
16	84	1590528337774511	1590528337775694
32	85	1590528339086089	1590528339087130
64	86	1590528340397464	1590528340398769
128	87	1590528341709130	1590528341710117
1	88	1590528343020455	1590528343021806
2	89	1590528344332162	1590528344333113
4	90	1590528345643525	1590528345644764
8	91	1590528346955142	1590528346956161
16	92	1590528348266608	1590528348267709
32	93	1590528349578265	1590528349579066
64	94	1590528350889624	1590528350890721
128	95	1590528352201185	1590528352202175
1	96	1590528353512798	1590528353513575
2	97	1590528354824179	1590528354825208
4	98	1590528356135821	1590528356136580
8	99	1590528357447199	1590528357448216
16	100	1590528358758732	1590528358759698
32	101	1590528360070107	1590528360071336
64	102	1590528361381894	1590528361382563
128	103	1590528362693101	1590528362694370
1	104	1590528364004820	1590528364005665
2	105	1590528365316354	1590528365317145
4	106	1590528366627806	1590528366628707
8	107	1590528367939372	1590528367940155
16	108	1590528369250685	1590528369251856
32	109	1590528370562487	1590528370563068
64	110	1590528371873659	1590528371874910
128	111	1590528373185363	1590528373186220
1	112	1590528374496848	1590528374497749
2	113	1590528375808301	1590528375809311
4	114	1590528377119841	1590528377120784
8	115	1590528378431492	1590528378432147
16	116	1590528379742809	1590528379743845
32	117	1590528381054527	1590528381055140
64	118	1590528382365863	1590528382366819
128	119	1590528383677341	1590528383678355
1	120	1590528384988756	1590528384989953
2	121	1590528386300471	1590528386301252
4	122	1590528387611865	1590528387612873
8	123	1590528388923461	1590528388924290
16	124	1590528390234790	1590528390235975
