Initial signature: 255	255
255	255	
data	Stamp	pre	post
1	0	1675506556885718	1675506556886664
2	1	1929486633972134	1929486633973353
4	2	2183466711058715	2183466711059878
8	3	2437446788145467	2437446788146233
16	4	2691426865231962	2691426865232843
32	5	2945406942318281	2945406942319630
64	6	3199387019404962	3199387019406056
128	7	3453367096491388	3453367096492736
1	8	3707347173578194	3707347173579035
2	9	3961327250664655	3961327250665680
4	10	4215307327751109	4215307327752333
8	11	4469287404837910	4469287404838638
16	12	4723267481924369	4723267481925285
32	13	4977247559010852	4977247559011908
64	14	5231227636097425	5231227636098441
128	15	5485207713184102	5485207713184870
1	16	5739187790270476	5739187790271602
2	17	5993167867356974	5993167867358210
4	18	6247147944443486	6247147944444804
8	19	6501128021530351	6501128021531045
16	20	6755108098616860	6755108098617642
32	21	7009088175703289	7009088175704319
64	22	7263068252789968	7263068252790746
128	23	7517048329876433	7517048329877387
1	24	7771028406963037	7771028406963889
2	25	8025008484049679	8025008484050353
4	26	8278988561136043	8278988561137095
8	27	8532968638222761	8532968638223483
16	28	8786948715309222	8786948715310128
32	29	9040928792395566	9040928792396890
64	30	9294908869482234	9294908869483326
128	31	9548888946568818	9548888946569850
1	32	9802869023655416	9802869023656360
2	33	10056849100742056	10056849100742824
4	34	10310829177828410	10310829177829574
8	35	10564809254914844	10564809254916248
16	36	10818789332001536	10818789332002664
32	37	11072769409088092	11072769409089212
64	38	11326749486174562	11326749486175846
128	39	11580729563261254	11580729563262262
1	40	11834709640347850	11834709640348774
2	41	12088689717434256	12088689717435472
4	42	12342669794521028	12342669794521804
8	43	12596649871607318	12596649871608622
16	44	12850629948694010	12850629948695038
32	45	13104610025780432	13104610025781720
64	46	13358590102867270	13358590102867986
128	47	13612570179953644	13612570179954720
1	48	13866550257040204	13866550257041268
2	49	14120530334126846	14120530334127730
4	50	14374510411213386	14374510411214294
8	51	14628490488299790	14628490488300998
16	52	14882470565386652	14882470565387244
32	53	15136450642472830	15136450642474170
64	54	15390430719559576	15390430719560528
128	55	15644410796646062	15644410796647150
